id,num,name,info,type,AT,Maxlv,subtype,desc,sprite,A,B,C
1000,0,Abilityname/1000,AbilityInfo/1000,stat,1,300,allstat,모든 능력치 <color=red>30%</color> 증가,Guild/Buff/Battle/모든능력치증가,0.3,,
1001,1,Abilityname/1001,AbilityInfo/1001,stat,1,300,crit,치명타 확률 <color=red>20%</color> 증가,Guild/Buff/Battle/치명타확률증가,20,,
1002,2,Abilityname/1002,AbilityInfo/1002,stat,1,300,critdmg,치명타 피해 <color=red>50%</color> 증가,Guild/Buff/Battle/치명타피해증가,0.5,,
1003,3,Abilityname/1003,AbilityInfo/1003,stat,1,300,hp,생명력 <color=red>7%</color> 증가,Guild/Buff/Battle/생명력증가,0.07,,
1004,4,Abilityname/1004,AbilityInfo/1004,stat,1,300,mp,정신력 <color=cyan>7%</color> 증가,Guild/Buff/Battle/정신력증가,0.07,,
1005,5,Abilityname/1005,AbilityInfo/1005,stat,2,450,atk,물리 공격력 <color=cyan>100%</color> 증가,Ability/1005,1,,
1006,6,Abilityname/1006,AbilityInfo/1006,stat,2,450,matk,마법 공격력 <color=cyan>100%</color>증가,Ability/1006,1,,
1007,7,Abilityname/1007,AbilityInfo/1007,stat,2,450,dotdmg,상태 이상 피해 <color=cyan>200%</color> 증가,Ability/1007,2,,
1008,8,Abilityname/1008,AbilityInfo/1008,stat,2,450,exp,추가 경험치 <color=cyan>20%</color> 증가,Item/ETC/Exp,0.2,,
1009,9,Abilityname/1009,AbilityInfo/1009,stat,2,450,buffup,버프 효율 <color=cyan>50%</color> 증가,Ability/1009,0.5,,
1010,10,Abilityname/1010,AbilityInfo/1010,stat,3,600,bossatk,보스 피해 <color=red>30%</color> 증가,Guild/Buff/Battle/보스피해증가,0.3,,
1011,11,Abilityname/1011,AbilityInfo/1011,stat,3,600,monatk,일반 몬스터 피해 <color=red>30%</color> 증가,Ability/1011,0.3,,
1012,12,Abilityname/1012,AbilityInfo/1012,stat,3,600,breakdmg,무력화 피해 <color=red>50%</color> 증가,Guild/Buff/Battle/무력화피해증가,0.4,,
1013,13,Abilityname/1013,AbilityInfo/1013,stat,3,600,gold,골드 획득량 <color=yellow>20%</color> 증가,Guild/Buff/Util/골드증가,0.2,,
1014,14,Abilityname/1014,AbilityInfo/1014,stat,4,750,atkspd,공격 속도 <color=cyan>10%</color> 증가,Ability/1014,0.1,,
1015,15,Abilityname/1015,AbilityInfo/1015,stat,4,750,reducecooldown,재사용 시간 <color=yellow>10%</color> 감소,Guild/Buff/Battle/재사용시간감소,0.1,,
1016,16,Abilityname/1016,AbilityInfo/1016,stat,4,750,droprateup,드롭율 <color=lime>10%</color> 증가,Guild/Buff/Util/드롭율증가,0.1,,
1017,17,Abilityname/1017,AbilityInfo/1017,ulti,5,900,ulti,기본 공격 시 <color=yellow>100%</color> 확률로 물리 공격력 <color=red>500%</color> 만큼 피해를 입힘,Ability/1018,100,5,
1018,18,Abilityname/1018,AbilityInfo/1018,ulti,5,900,ulti,마법 스킬 사용 시 <color=yellow>100%</color> 확률로 마법 공격력 <color=cyan>350%</color> 만큼 피해를 입힘,Ability/1019,100,3.5,
1019,19,Abilityname/1019,AbilityInfo/1019,ulti,5,900,ulti,치명타 피해 시 <color=yellow>100%</color> 확률로 물리 공격력의 <color=red>300%</color> 만큼 피해를 입힘,Ability/1020,100,3,
1020,20,Abilityname/1020,AbilityInfo/1020,ulti,5,900,ulti,"상태 이상 중첩 <color=yellow>+20</color>
상태 이상 최대 중첩 <color=yellow>+20</color>",Ability/1021,100,20,
1021,21,Abilityname/1021,AbilityInfo/1021,ulti,5,900,ulti,스킬 사용 시 <color=yellow>100%</color> 확률로 모든 적에게 스킬을 사용,Ability/1022,100,,
1022,22,Abilityname/1022,AbilityInfo/1022,ulti,6,1200,buffup,버프 효율 <color=cyan>70%</color> 증가,Ability/1023,0.7,,
1023,23,Abilityname/1023,AbilityInfo/1023,ulti,6,1200,atk,물리 공격력 <color=cyan>300%</color> 증가,Ability/1024,3,,
1024,24,Abilityname/1024,AbilityInfo/1024,ulti,6,1200,basicatkcount,기본 공격 횟수 +1,Ability/1025,1,,
1025,25,Abilityname/1025,AbilityInfo/1025,ulti,6,1200,matk,마법 공격력 <color=cyan>300%</color>증가,Ability/1026,3,,
1026,26,Abilityname/1026,AbilityInfo/1026,ulti,6,1200,dotdmg,상태 이상 피해 <color=cyan>600%</color> 증가,Ability/1027,6,,
1027,27,Abilityname/1027,AbilityInfo/1027,ulti,7,1500,lvstr,레벨 1 당 힘 +4,Ability/1028,4,,
1028,28,Abilityname/1028,AbilityInfo/1028,ulti,7,1500,lvdex,레벨 1 당 민첩 +4,Ability/1029,4,,
1029,29,Abilityname/1029,AbilityInfo/1029,ulti,7,1500,lvint,레벨 1 당 지능 +4,Ability/1030,4,,
1030,30,Abilityname/1030,AbilityInfo/1030,ulti,7,1500,lvwis,레벨 1 당 지혜 +4,Ability/1031,4,,
1031,31,Abilityname/1031,AbilityInfo/1031,ulti,7,1500,lvallstat,레벨 1 당 모든 능력치 +2,Guild/Buff/Battle/모든능력치증가,2,,
