id,coreid,name,description,type,subtype,level,nextlevel,count,item,itemhowmany,paneltype,islast
A1000,A1000,achievement/1000,몬스터처치,killmonster,daily,0,0,1000,999,200,daily,0
A1001,A1001,achievement/1001,던전 격파,dungeonclear,daily,0,0,5,999,300,daily,0
A1002,A1002,achievement/1002,아이템 제작,crafting,daily,0,0,2,999,200,daily,0
A1003,A1003,achievement/1003,보스 처치,bosskill,daily,0,0,3,999,200,daily,0
A1004,A1004,achievement/1004,사냥터 클리어,StageClear,daily,0,0,3,999,200,daily,0
A2000,A2000,achievement/2000,레이드 격파,raidclear,daily,0,0,1,999,300,daily,0
A2001,A2001,achievement/2001,성물 격파,altarwar,daily,0,0,1,999,300,daily,0
A1005,A1005,achievement/1000,몬스터처치,killmonster,forever,0,A1006,20,999,200,forever,0
A1006,A1005,achievement/1000,몬스터처치,killmonster,forever,1,A1007,100,999,200,forever,0
A1007,A1005,achievement/1000,몬스터처치,killmonster,forever,2,A1008,300,999,200,forever,0
A1008,A1005,achievement/1000,몬스터처치,killmonster,forever,3,A1009,700,999,400,forever,0
A1009,A1005,achievement/1000,몬스터처치,killmonster,forever,4,A1010,1200,999,600,forever,0
A1010,A1005,achievement/1000,몬스터처치,killmonster,forever,5,A1011,2000,999,800,forever,0
A1011,A1005,achievement/1000,몬스터처치,killmonster,forever,6,A1012,3000,999,1000,forever,0
A1012,A1005,achievement/1000,몬스터처치,killmonster,forever,7,A1013,5000,999,1200,forever,0
A1013,A1005,achievement/1000,몬스터처치,killmonster,forever,8,A1014,7000,999,1400,forever,0
A1014,A1005,achievement/1000,몬스터처치,killmonster,forever,9,A1015,10000,999,1600,forever,0
A1015,A1005,achievement/1000,몬스터처치,killmonster,forever,10,A1016,13000,999,1800,forever,0
A1016,A1005,achievement/1000,몬스터처치,killmonster,forever,11,A1017,16000,999,2000,forever,0
A1017,A1005,achievement/1000,몬스터처치,killmonster,forever,12,A1018,19000,999,2200,forever,0
A1018,A1005,achievement/1000,몬스터처치,killmonster,forever,13,A1019,22000,999,2400,forever,0
A1019,A1005,achievement/1000,몬스터처치,killmonster,forever,14,A1020,25000,999,2600,forever,0
A1020,A1005,achievement/1000,몬스터처치,killmonster,forever,15,A1021,28000,999,2800,forever,0
A1021,A1005,achievement/1000,몬스터처치,killmonster,forever,16,A1022,31000,999,3000,forever,0
