,id,Name,Type,SubType,Rangetype,Sprite,EquipSprite,ArrowSprite,ArrowSpeed,ArrowSize,ArrowRotation,HitEffect,HitSound,HitCount,Tier,BattlePoint,Rare,RarePercent,RareCoung,RanSmeltCount,SmeltUpStat,craftrare,craftrarelist,material,attacktype,minatk,maxatk,atkspeed,castspeed,matk,def,mdef,Str,Dex,Int,Wis,AllStat,AdvanStat,Hit,Exp,Gold,Hp,Mp,Crit,CritDmg,MinAllDmg,MaxAllDmg,RanStatId,SetID,SpeMehod,SpeMehodP,SuccSpe,istwohand,smeltid,smeltcount,maxdotcount,dotdmgup,AdvanEquipID,AdvanNeedItem,AdvanNeedItemHowmany,AdvanGold,AdvanPercent,ChangeId,UpgradeNeedID,SuccType,SuccNeedId,SuccNeedCount
설명,아이디,이름,1차타입,2차타입,M = 밀리 R = 원거리 MR  = 마법 ALL 전체 MRR = 근접원거리,아이템이미지,장착이미지,투사체 이미지,투사체 속도 기본 22,,투사체 방향 화살은 기본 -135,타격 이펙트,타격 사운드,1회 공격 당 피해 횟수,티어,,,,,제련최대수치,제련할떄오르는 스탯,,,재질,공격 타입 0은 근접 1은 원거리,최소공격력,최대공격력,공격 속도,시전속도,마법 공격력,방어력,마법 방어력,힘,민첩,지능,지혜,모든 능력치,적응형능력치 제일높은 능력치가 오름,적중력,경험치 추가%,골드 추가%,생명력,체력,,,,,,,장비 랜덤 효과,장비 고정 효과,,,,,,,승급 지급 장비,승급 재료 아이디,승급 재료 개수,승급 필요 골드,승급 성공 확률,,,,,
1티어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
T1 제작 검,E1000,EquipName/1000,Weapon,Physic,M,Item/Weapon/main/LongSword1,EquipItem/Weapon/main/LongSword1,0,0,0,0,Slash9,Attack/Slash1;Attack/Slash2,1,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,iron,0,1.5,1.5,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 활,E1001,EquipName/1001,Weapon,Physic,R,Item/Weapon/main/Bow1,EquipItem/Weapon/main/Bow1,arrow/1043,22,2.2,0,,Attack/shoot1,1,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,wood,1,1.3,1.3,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 지팡이,E1002,EquipName/1002,Weapon,Magic,MR,Item/Weapon/main/Staff1,EquipItem/Weapon/main/Staff1,arrow/icon922,15,1,0,,Attack/spell1,1,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,wood,1,1,1,0,0.15,1.5,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 단검,E1003,EquipName/1003,Weapon,,M,Item/Weapon/main/Dagger1,EquipItem/Weapon/main/Dagger1,0,0,0,0,Slash9,Attack/Slash1;Attack/Slash2,2,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,iron,0,0.7,0.7,0.1,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 투구,E1004,EquipName/1004,Helmet,,,Item/Helmet/0,,0,0,0,0,,,0,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 갑옷,E1005,EquipName/1005,Chest,,,Item/Chest/0,,0,0,0,0,,,0,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 장갑,E1006,EquipName/1006,Glove,,,Item/Glove/0,,0,0,0,0,,,0,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
T1 제작 신발,E1007,EquipName/1007,Boot,,,Item/Boot/0,,0,0,0,0,,,0,1,100,0,60;20;0;0;0;0;0;0,2,1;2,2,0,0,leather,-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,FALSE,99000,1,0,0,,,,,,,,gold,1000,500000000
