id,name,info,description,rank,itemid,howmany,guildgold,guildexp
1000,GuildQuest/1000,GuildQuestInfo/1000,"하급 결정 10,000개 납품",1,11,10000,2000,250
1001,GuildQuest/1001,GuildQuestInfo/1001,"하급 결정 30,000개 납품",2,11,30000,3000,400
1002,GuildQuest/1002,GuildQuestInfo/1002,"하급 결정 100,000개 납품",3,11,100000,4000,500
1003,GuildQuest/1003,GuildQuestInfo/1003,"하급 결정 300,000개 납품",4,11,300000,5500,600
1004,GuildQuest/1004,GuildQuestInfo/1004,"중급 결정 10,000개 납품",1,12,10000,2500,300
1005,GuildQuest/1005,GuildQuestInfo/1005,"중급 결정 30,000개 납품",2,12,30000,3500,450
1006,GuildQuest/1006,GuildQuestInfo/1006,"중급 결정 100,000개 납품",3,12,100000,5000,550
1007,GuildQuest/1007,GuildQuestInfo/1007,"중급 결정 300,000개 납품",4,12,300000,6500,650
1008,GuildQuest/1008,GuildQuestInfo/1008,"상급 결정 50,000개 납품",1,13,50000,4500,500
1009,GuildQuest/1009,GuildQuestInfo/1009,"상급 결정 200,000개 納품",2,13,200000,7000,650
1010,GuildQuest/1010,GuildQuestInfo/1010,"상급 결정 500,000개 납품",3,13,500000,8500,800
1011,GuildQuest/1011,GuildQuestInfo/1011,"상급 결정 1,000,000개 납품",4,13,1000000,11000,900
1012,GuildQuest/1012,GuildQuestInfo/1012,"최상급 결정 50,000개 납품",1,14,50000,6000,600
1013,GuildQuest/1013,GuildQuestInfo/1013,"최상급 결정 200,000개 納품",2,14,200000,8000,750
1014,GuildQuest/1014,GuildQuestInfo/1014,"최상급 결정 500,000개 납품",3,14,500000,10000,850
1015,GuildQuest/1015,GuildQuestInfo/1015,"최상급 결정 1,000,000개 납품",4,14,1000000,13000,950
1016,GuildQuest/1016,GuildQuestInfo/1016,"신의 결정 50,000개 납품",1,15,50000,7500,700
1017,GuildQuest/1017,GuildQuestInfo/1017,"신의 결정 200,000개 納품",2,15,200000,9000,800
1018,GuildQuest/1018,GuildQuestInfo/1018,"신의 결정 500,000개 납품",3,15,500000,12000,900
1019,GuildQuest/1019,GuildQuestInfo/1019,"신의 결정 1,000,000개 납품",4,15,1000000,14000,1000
