description,Tier,id,num,itemid,itemnames,minhowmany,maxhowmany,rate,isshow,Ispercent,,,,,,,
,티어,아이디,번호 0~,아이템아이디,아이템이름,최소개수,최대개수,확률,,,,,,,,,
맵1 몬스터,★,1000,0,1000,,10,20,1000000,TRUE,FALSE,,,,,,,
경험치,★,1000,1,1002,,20,20,1000000,TRUE,FALSE,,,,,,,
결정,★,1000,2,10,,1,2,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★,1000,3,1700,,1,1,200000,TRUE,FALSE,,,,,,,
맵1 보스,★,1001,4,1000,,20,40,1000000,TRUE,FALSE,,,,,,,
경험치,★,1001,5,1002,,40,40,1000000,TRUE,FALSE,,,,,,,
결정,★,1001,6,10,,2,4,400000,TRUE,FALSE,,,,,,,
장비 파편,★,1001,7,1700,,2,2,700000,TRUE,FALSE,,,,,,,
맵2 몬스터,★,1002,8,1000,,10,20,1000000,TRUE,FALSE,,,,,,,
경험치,★,1002,9,1002,,60,60,1000000,TRUE,FALSE,,,,,,,
결정,★,1002,10,10,,3,6,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★,1002,11,1700,,3,3,200000,TRUE,FALSE,,,,,,,
맵2 보스,★,1003,12,1000,,20,40,1000000,TRUE,FALSE,,,,,,,
경험치,★,1003,13,1002,,80,80,1000000,TRUE,FALSE,,,,,,,
결정,★,1003,14,10,,4,8,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★,1003,15,1700,,4,4,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★,1004,16,1000,,20,40,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1004,17,1002,,180,180,1000000,TRUE,FALSE,,,,,,,
결정,★★,1004,18,10,,5,10,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1004,19,1700,,5,5,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★,1005,20,1000,,40,80,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1005,21,1002,,220,220,1000000,TRUE,FALSE,,,,,,,
결정,★★,1005,22,10,,6,12,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1005,23,1700,,6,6,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★,1006,24,1000,,20,40,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1006,25,1002,,260,260,1000000,TRUE,FALSE,,,,,,,
결정,★★,1006,26,10,,7,14,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1006,27,1700,,7,7,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★,1007,28,1000,,40,80,1000000,TRUE,FALSE,,,,,,,
경험치,★★,1007,29,1002,,300,300,1000000,TRUE,FALSE,,,,,,,
결정,★★,1007,30,10,,8,16,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★,1007,31,1700,,8,8,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★★,1008,32,1000,,40,80,1000000,TRUE,FALSE,,,,,,,
경험치,★★★,1008,33,1002,,360,360,1000000,TRUE,FALSE,,,,,,,
결정,★★★,1008,34,11,,9,18,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★★,1008,35,1700,,9,9,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★★,1009,36,1000,,80,160,1000000,TRUE,FALSE,,,,,,,
경험치,★★★,1009,37,1002,,420,420,1000000,TRUE,FALSE,,,,,,,
결정,★★★,1009,38,11,,10,20,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★★,1009,39,1700,,10,10,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★★,1010,40,1000,,40,80,1000000,TRUE,FALSE,,,,,,,
경험치,★★★,1010,41,1002,,480,480,1000000,TRUE,FALSE,,,,,,,
결정,★★★,1010,42,11,,11,22,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★★,1010,43,1700,,11,11,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★★,1011,44,1000,,80,160,1000000,TRUE,FALSE,,,,,,,
경험치,★★★,1011,45,1002,,540,540,1000000,TRUE,FALSE,,,,,,,
결정,★★★,1011,46,11,,12,24,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★★,1011,47,1700,,12,12,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★★★,1012,48,1000,,80,160,1000000,TRUE,FALSE,,,,,,,
경험치,★★★★,1012,49,1002,,600,600,1000000,TRUE,FALSE,,,,,,,
결정,★★★★,1012,50,11,,13,26,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★★★,1012,51,1700,,13,13,200000,TRUE,FALSE,,,,,,,
맵3 보스,★★★★,1013,52,1000,,160,320,1000000,TRUE,FALSE,,,,,,,
경험치,★★★★,1013,53,1002,,680,680,1000000,TRUE,FALSE,,,,,,,
결정,★★★★,1013,54,11,,14,28,400000,TRUE,FALSE,,,,,,,
일반 장피 파편,★★★★,1013,55,1700,,14,14,700000,TRUE,FALSE,,,,,,,
맵3 몬스터,★★★★,1014,56,1000,,80,160,1000000,TRUE,FALSE,,,,,,,
경험치,★★★★,1014,57,1002,,760,760,1000000,TRUE,FALSE,,,,,,,
결정,★★★★,1014,58,11,,15,30,400000,TRUE,FALSE,,,,,,,
